01. Project Name,02. Amount,03. Expense Date,04. Expense Head,05. Claim ID
"Relay module inspection","620","2023-04-12","Project item purchase","20230427045739307747"
"Egg Inspection","200","2023-04-12","Project item purchase","20230427045640430298"
"FoodKiosk_12box_002","130","2023-04-19","Project item purchase","20230427045441587287"
"FoodKiosk_12box_002","80","2023-03-26","Food ","20230329112047682991"
"FoodKiosk_12box_002","760","2023-03-25","Travel ","20230329112013908402"
"FoodKiosk_12box_002","500","2023-03-24","Project Expenses","20230329111944974472"
"FoodKiosk_12box_002","80","2023-03-25","Travel ","20230329111815878665"
"FoodKiosk_12box_002","60","2023-03-25","Lodging","20230329111739231208"
"FoodKiosk_12box_002","420","2023-03-25","Food ","20230329111653108772"
"FoodKiosk_12box_002","60","2023-03-24","Lodging","20230329111554662688"
"FoodKiosk_12box_002","1200","2023-03-25","Lodging","20230329093531293796"
"FoodKiosk_12box_002","140","2023-03-24","Travel ","20230326050435693566"
"FoodKiosk_12box_002","8164","2023-03-24","Project item purchase","20230326050306191994"
"FoodKiosk_12box_002","9440","2023-03-23","Project item purchase","20230326050202804309"
"FoodKiosk_12box_002","210","2023-03-24","Travel ","20230324171047519150"
"FoodKiosk_12box_002","420","2023-03-24","Food ","20230324170913832453"
"FoodKiosk_12box_002","60","2023-03-23","Lodging","20230324170814544139"
"FoodKiosk_12box_002","1000","2023-03-23","Lodging","20230324170558384889"
"FoodKiosk_12box_002","80","2023-03-23","Travel ","20230324170442662785"
"FoodKiosk_12box_002","460","2023-03-23","Food ","20230324170345351346"
"FoodKiosk_12box_002","60","2023-03-22","Lodging","20230324165731374555"
"FoodKiosk_12box_002","180","2023-03-22","Travel ","20230324165107613429"
"FoodKiosk_12box_002","560","2023-03-22","Food ","20230324164829741990"
"FoodKiosk_12box_002","1000","2023-03-21","Lodging","20230324024554826161"
"FoodKiosk_12box_002","10","2023-03-21","Travel ","20230324024359603988"
"FoodKiosk_12box_002","230","2023-03-21","Food ","20230324024206268586"
"FoodKiosk_12box_002","825","2023-03-21","Travel ","20230324023747912003"
"FoodKiosk_12box_002","413","2023-03-22","Project item purchase","20230324021659338506"
"FoodKiosk_12box_002","3994.30","2023-01-17","Project item purchase","20230316100821709263"
"FoodKiosk_12box_002","1715","2023-01-10","Project item purchase","20230316070204099544"
"FoodKiosk_12box_002","590","2022-12-27","Project item purchase","20230316065743849717"
